,Region,Category,Level,Place,Player,Time,Run Date,ID,Date
178,NTSC,1 Lap,Sunset Bay,7.0,andypanther,19.893,2018-07-09,yj436vny,2022-01-01
179,NTSC,1 Lap,Sunset Bay,8.0,meauxdal,19.895,2017-11-04,yjk22xom,2022-01-01
180,NTSC,1 Lap,Sunset Bay,9.0,mo_moe,19.898,2017-09-25,zxvl4xqy,2022-01-01
181,NTSC,1 Lap,Sunset Bay,10.0,AS_Money,19.901,2017-11-25,z5oe0jjy,2022-01-01
182,NTSC,1 Lap,Sunset Bay,11.0,MDK1,19.919,2021-12-01,zq0k0q5y,2022-01-01
183,NTSC,1 Lap,Sunset Bay,12.0,Bert86,19.927,2018-10-07,ywpjj6nz,2022-01-01
184,NTSC,1 Lap,Sunset Bay,13.0,quickpersonsIND,19.976,2019-01-23,z11n8jwz,2022-01-01
185,NTSC,1 Lap,Sunset Bay,14.0,GhillieGuide,19.984,2017-01-27,8y8l521m,2022-01-01
186,NTSC,1 Lap,Sunset Bay,15.0,eToast,19.987,2020-07-18,z15nqkjy,2022-01-01
187,NTSC,1 Lap,Sunset Bay,16.0,MetalHead,19.989,2019-01-10,y92j0qez,2022-01-01
188,NTSC,1 Lap,Sunset Bay,17.0,KoiIroHoshi,19.999,2017-06-03,z5o77kdy,2022-01-01
189,NTSC,1 Lap,Sunset Bay,18.0,bobakanoosh55555,20.031,2018-07-13,zn4rve3m,2022-01-01
190,NTSC,1 Lap,Sunset Bay,19.0,analogism,20.034,2016-01-12,8m7w1wwz,2022-01-01
191,NTSC,1 Lap,Sunset Bay,20.0,NickWarner,20.098,2021-06-18,zq1qw09m,2022-01-01
192,NTSC,1 Lap,Sunset Bay,21.0,RandyOzzY,20.443,2020-03-05,zgk5xqvy,2022-01-01
193,NTSC,1 Lap,Sunset Bay,22.0,Bace,20.476,2018-01-14,z139o5jm,2022-01-01
194,NTSC,1 Lap,Sunset Bay,23.0,dosufura,20.552,2021-09-09,yvoqk54z,2022-01-01
195,NTSC,1 Lap,Sunset Bay,24.0,Sonata,20.642,2020-02-09,yv35d16z,2022-01-01
196,NTSC,1 Lap,Sunset Bay,25.0,Maple_Hood,20.716,2014-05-21,pyddeexy,2022-01-01
197,NTSC,1 Lap,Sunset Bay,26.0,RyanWarner,20.766,2020-10-25,yo37k90y,2022-01-01
198,NTSC,1 Lap,Sunset Bay,27.0,RSR,20.797,2019-11-07,mk2vw25m,2022-01-01
199,NTSC,1 Lap,Sunset Bay,28.0,th3ch0s3n0n3,21.02,2021-01-12,y2v9x3jz,2022-01-01
200,NTSC,1 Lap,Sunset Bay,29.0,d0ggr,21.223,2019-01-23,z11n5prz,2022-01-01
201,NTSC,1 Lap,Sunset Bay,30.0,Speedruntrainer,21.249,2014-10-27,1zqrwd9y,2022-01-01
202,NTSC,1 Lap,Sunset Bay,31.0,AdomHaMez,21.829,2021-09-28,ywkn14ny,2022-01-01
203,NTSC,1 Lap,Sunset Bay,32.0,FPScanada,22.613,2019-04-07,ywp7jnpz,2022-01-01
204,NTSC,1 Lap,Sunset Bay,33.0,Mahrla,24.01,2011-05-26,ydqpl7jm,2022-01-01
205,NTSC,1 Lap,Sunset Bay,34.0,Ipsum86,24.395,2020-05-07,mk38wg3z,2022-01-01
206,NTSC,1 Lap,Sunset Bay,35.0,DJ-Cat,24.485,2020-06-18,yd517njm,2022-01-01
207,NTSC,1 Lap,Sunset Bay,36.0,Recurv2,25.292,2021-02-01,yo992o1y,2022-01-01
208,NTSC,Reverse,Sunset Bay,1.0,MDK1,67.976,2021-11-26,mk5jk8lm,2022-01-01
209,NTSC,Reverse,Sunset Bay,2.0,doctorfeesh,67.996,2020-05-26,y257nk9y,2022-01-01
210,NTSC,Reverse,Sunset Bay,3.0,Shibbypod,68.182,2019-02-09,yl4plknm,2022-01-01
211,NTSC,Reverse,Sunset Bay,4.0,Game,68.628,2018-06-23,yo22430z,2022-01-01
212,NTSC,Reverse,Sunset Bay,5.0,mo_moe,68.653,2017-06-29,z0e5jx9m,2022-01-01
213,NTSC,Reverse,Sunset Bay,6.0,MetalHead,68.827,2020-12-28,y6rw740y,2022-01-01
214,NTSC,Reverse,Sunset Bay,7.0,AS_Money,68.903,2019-11-23,zplkx48m,2022-01-01
215,NTSC,Reverse,Sunset Bay,8.0,MyOhMyPancakes,68.99,2020-08-26,z15ev19y,2022-01-01
216,NTSC,Reverse,Sunset Bay,9.0,meauxdal,69.414,2018-10-13,y6pnjv6m,2022-01-01
217,NTSC,Reverse,Sunset Bay,10.0,the_androgyne,69.512,2018-07-12,y2q1x27y,2022-01-01
218,NTSC,Reverse,Sunset Bay,11.0,KoiIroHoshi,69.788,2017-12-22,z13le97m,2022-01-01
219,NTSC,Reverse,Sunset Bay,12.0,andypanther,69.888,2021-07-27,z5dr6lgm,2022-01-01
220,NTSC,Reverse,Sunset Bay,13.0,GhillieGuide,70.715,2017-06-10,yvg3vnoy,2022-01-01
221,NTSC,Reverse,Sunset Bay,14.0,gplehner,72.952,2020-08-22,yokggj7z,2022-01-01
222,NTSC,Reverse,Sunset Bay,15.0,Bace,72.994,2018-01-31,yo4xlwdm,2022-01-01
223,NTSC,Reverse,Sunset Bay,16.0,RyanWarner,74.318,2020-07-17,y82pj6wy,2022-01-01
224,NTSC,Reverse,Sunset Bay,17.0,Ipsum86,84.652,2020-05-07,m35gvr6y,2022-01-01
225,NTSC,Reverse,Sunset Bay,18.0,Mahrla,85.359,2011-05-26,mk4x161y,2022-01-01
226,NTSC,Reverse,Sunset Bay,19.0,JimB,85.893,2018-07-14,y891xr5m,2022-01-01
227,NTSC,Reverse,Sunset Bay,20.0,DJ-Cat,87.657,2020-07-17,y25w595y,2022-01-01
228,NTSC,3 Lap,Drake Lake,1.0,Illudude,70.996,2018-03-20,z0e2e0om,2022-01-01
229,NTSC,3 Lap,Drake Lake,2.0,mo_moe,71.18,2018-01-06,zq6dn68y,2022-01-01
230,NTSC,3 Lap,Drake Lake,3.0,Shibbypod,71.369,2016-05-10,2ywvrr2z,2022-01-01
231,NTSC,3 Lap,Drake Lake,3.0,doctorfeesh,71.369,2019-05-19,y6l395jy,2022-01-01
232,NTSC,3 Lap,Drake Lake,4.0,Game,71.419,2020-07-10,znk2179z,2022-01-01
